"","sites","fst","pops1","pops2","km"
"1","FJS.FLS.pops.fst",0.241464711151737,"FJS","FLS",514.588740317436
"2","FJS.FLT.pops.fst",0.249587273126143,"FJS","FLT",514.535076397081
"3","FJS.HWW.pops.fst",0.203171907129799,"FJS","HWW",9.78306696458529
"4","FJS.NCC.pops.fst",0.253853878244973,"FJS","NCC",367.431483147666
"5","FJS.NHH.pops.fst",0.233396993053016,"FJS","NHH",1042.90076444325
"6","FJS.RIS.pops.fst",0.253269821937843,"FJS","RIS",986.065692983729
"7","FJS.RIT.pops.fst",0.219252112248629,"FJS","RIT",986.043486868382
"8","FJS.SBI.pops.fst",0.207160372943327,"FJS","SBI",6.34238732780383
"9","FJS.SCT.pops.fst",0.193575073491773,"FJS","SCT",5.88690413539245
"10","FJS.SFB.pops.fst",0.20338185630713,"FJS","SFB",7.73965157476966
"11","FJS.SWS.pops.fst",0.239790852285192,"FJS","SWS",1042.08314141907
"12","FJS.SWT.pops.fst",0.260345056672761,"FJS","SWT",1042.17042101807
"13","FJS.TBI.pops.fst",0.194521202559415,"FJS","TBI",6.24647720982362
"14","FJS.TFB.pops.fst",0.201295053382084,"FJS","TFB",7.88704028014097
"15","FJS.WES.pops.fst",0.24342800511883,"FJS","WES",1042.20285699657
"16","FJS.WET.pops.fst",0.23685653857404,"FJS","WET",1042.23334035366
"17","FLS.FLT.pops.fst",0.261980200365631,"FLS","FLT",0.0538277925162385
"18","FLS.HWW.pops.fst",0.240729024131627,"FLS","HWW",505.048358174838
"19","FLS.NCC.pops.fst",0.268348331627057,"FLS","NCC",881.370976697741
"20","FLS.NHH.pops.fst",0.260182342595978,"FLS","NHH",1540.78022567414
"21","FLS.RIS.pops.fst",0.275929771480804,"FLS","RIS",1488.25569098596
"22","FLS.RIT.pops.fst",0.239915624131627,"FLS","RIT",1488.23395286432
"23","FLS.SBI.pops.fst",0.238993383180987,"FLS","SBI",508.32162313325
"24","FLS.SCT.pops.fst",0.231244418647166,"FLS","SCT",508.748144421281
"25","FLS.SFB.pops.fst",0.241503530895795,"FLS","SFB",507.015900400893
"26","FLS.SWS.pops.fst",0.253324242778793,"FLS","SWS",1541.33945462455
"27","FLS.SWT.pops.fst",0.280680947349177,"FLS","SWT",1541.42688088529
"28","FLS.TBI.pops.fst",0.255396960146252,"FLS","TBI",508.418901652008
"29","FLS.TFB.pops.fst",0.245309395246801,"FLS","TFB",506.858636298616
"30","FLS.WES.pops.fst",0.261149548080439,"FLS","WES",1541.39569486749
"31","FLS.WET.pops.fst",0.271565340036563,"FLS","WET",1541.42726646017
"32","FLT.HWW.pops.fst",0.255766700914077,"FLT","HWW",504.994712588152
"33","FLT.NCC.pops.fst",0.262935428519196,"FLT","NCC",881.317477379466
"34","FLT.NHH.pops.fst",0.264913259232176,"FLT","NHH",1540.72861373757
"35","FLT.RIS.pops.fst",0.268483091773309,"FLT","RIS",1488.20363063051
"36","FLT.RIT.pops.fst",0.246637557952468,"FLT","RIT",1488.18189245284
"37","FLT.SBI.pops.fst",0.249636684095064,"FLT","SBI",508.267951307007
"38","FLT.SCT.pops.fst",0.246454808775137,"FLT","SCT",508.694486608636
"39","FLT.SFB.pops.fst",0.250897352468007,"FLT","SFB",506.962223597204
"40","FLT.SWS.pops.fst",0.266285450822669,"FLT","SWS",1541.28770851909
"41","FLT.SWT.pops.fst",0.290080033638026,"FLT","SWT",1541.37513480752
