"","xbar","sd","n","se","sitenamesNICE"
"FJS",0.320562820931866,0.0127756893691418,20,0.00285673098888224,"SCFJ"
"FLS",0.276402105781712,0.0107071927905543,17,0.0025968756958416,"FLS"
"FLT",0.289706198628578,0.0123803112723813,20,0.00276832175876514,"FLT"
"HWW",0.316839052359182,0.0135790994562409,18,0.0032006244359715,"SC2"
"NCC",0.326235671556216,0.0200075482837451,14,0.00534724220193652,"NC1"
"NHH",0.263514777948915,0.0142929844851028,20,0.00319600849100398,"NH1"
"RIS",0.303060609351041,0.0203180917346129,19,0.00466128992614561,"RIS"
"RIT",0.283957396117559,0.0140931289001178,17,0.00341808582650767,"RIT"
"SBI",0.333230675185981,0.0455167916968572,17,0.0110394435238458,"SCBS"
"SCT",0.306013400097611,0.0159722366750186,21,0.00348542778957251,"SC3"
"SFB",0.305350230094231,0.0335318903734351,16,0.00838297259335877,"SCFS"
"SWS",0.319251161062472,0.0322226942408586,20,0.00720521347407509,"MASS"
"SWT",0.321783842891102,0.014773918270899,20,0.00330354855477564,"MAST"
"TBI",0.319417647833279,0.0433647920051862,17,0.0105175069335484,"SCBT"
"TFB",0.331890155962638,0.0572503718016922,13,0.015878396236183,"SCFT"
"WES",0.313588174960132,0.0218302756003241,20,0.00488139802098797,"MAWS"
"WET",0.305098559238543,0.0233384484709133,19,0.00535420728335486,"MAWT"
