num FL SC-BI SC-FB RI MA-WE MA-SW
0 0 0 0 0 0 0
1 0 0 0 0 0 1
1 0 0 0 0 1 0
3 0 0 0 0 1 1
0 0 0 0 1 0 0
3 0 0 0 1 0 1
3 0 0 0 1 1 0
20 0 0 0 1 1 1
0 0 0 1 0 0 0
0 0 0 1 0 0 1
2 0 0 1 0 1 0
4 0 0 1 0 1 1
1 0 0 1 1 0 0
10 0 0 1 1 0 1
2 0 0 1 1 1 0
34 0 0 1 1 1 1
1 0 1 0 0 0 0
0 0 1 0 0 0 1
2 0 1 0 0 1 0
8 0 1 0 0 1 1
1 0 1 0 1 0 0
1 0 1 0 1 0 1
2 0 1 0 1 1 0
19 0 1 0 1 1 1
3 0 1 1 0 0 0
10 0 1 1 0 0 1
10 0 1 1 0 1 0
41 0 1 1 0 1 1
10 0 1 1 1 0 0
24 0 1 1 1 0 1
22 0 1 1 1 1 0
252 0 1 1 1 1 1
1 1 0 0 0 0 0
0 1 0 0 0 0 1
1 1 0 0 0 1 0
3 1 0 0 0 1 1
0 1 0 0 1 0 0
3 1 0 0 1 0 1
5 1 0 0 1 1 0
25 1 0 0 1 1 1
1 1 0 1 0 0 0
1 1 0 1 0 0 1
6 1 0 1 0 1 0
13 1 0 1 0 1 1
2 1 0 1 1 0 0
14 1 0 1 1 0 1
7 1 0 1 1 1 0
87 1 0 1 1 1 1
1 1 1 0 0 0 0
3 1 1 0 0 0 1
2 1 1 0 0 1 0
14 1 1 0 0 1 1
3 1 1 0 1 0 0
8 1 1 0 1 0 1
9 1 1 0 1 1 0
96 1 1 0 1 1 1
28 1 1 1 0 0 0
39 1 1 1 0 0 1
30 1 1 1 0 1 0
98 1 1 1 0 1 1
41 1 1 1 1 0 0
123 1 1 1 1 0 1
106 1 1 1 1 1 0
1472 1 1 1 1 1 1
